"","X","country","pubbel1","pubbel2","pubbel3","pubbel4","othbel1","othbel2","pubact1","pubact2","priact1","priact2","iden1","iden2","iden3","sex","age","educ","wrkstat","ethnic","denom","marital"
"78732",78732,840,4,5,1,5,1,1,7,0,1,2,2,2,1,2,35,5,8,1400,53,6
"78733",78733,840,1,4,5,2,2,1,4,0,1,4,1,4,10,2,57,5,5,1400,62,1
"78734",78734,840,1,4,4,2,2,1,2,2,1,1,1,1,10,1,80,3,4,1400,62,1
"78735",78735,840,3,5,2,4,2,2,5,1,2,3,2,3,6,1,78,5,4,1400,62,1
"78736",78736,840,1,5,1,1,2,1,2,2,1,1,2,1,10,2,33,6,8,200,53,1
"78737",78737,840,4,5,1,5,1,4,7,0,2,4,2,4,4,1,28,5,1,1400,0,6
"78738",78738,840,2,2,2,4,2,1,6,1,1,1,1,1,10,2,75,5,4,1400,62,3
"78739",78739,840,3,1,1,5,2,1,7,0,1,2,1,2,10,2,36,5,5,1400,53,1
"78740",78740,840,2,4,4,4,2,1,5,0,1,3,3,3,8,1,60,3,3,1400,53,3
"78741",78741,840,1,4,-2,4,1,3,7,1,2,2,2,2,4,1,62,3,4,200,0,1
"78742",78742,840,1,2,2,2,2,3,1,2,1,3,1,1,10,1,71,5,4,1400,64,1
"78743",78743,840,3,5,1,5,2,1,7,0,1,2,1,2,10,2,71,6,4,1400,62,5
"78744",78744,840,2,4,1,4,2,2,2,2,1,1,1,2,10,1,79,5,4,1400,62,1
"78745",78745,840,-5,-5,-5,-5,2,-5,-5,0,-5,-5,-5,3,-5,1,82,3,4,8000,-5,1
"78746",78746,840,2,-5,-5,-5,2,-5,-5,2,-5,-5,-5,1,-5,2,62,5,5,1400,-5,1
"78747",78747,840,2,4,1,4,1,1,7,0,1,2,1,2,10,2,48,5,3,1400,0,1
"78748",78748,840,3,2,4,4,2,1,7,0,1,1,1,2,10,1,57,6,1,8000,62,5
"78749",78749,840,3,5,1,5,1,2,6,1,1,2,1,3,6,1,71,7,8,1400,62,3
"78750",78750,840,2,2,4,2,2,1,2,2,1,2,1,1,8,2,56,5,1,1400,62,1
"78751",78751,840,1,4,2,2,2,1,7,1,1,1,1,2,10,2,68,6,4,1400,62,1
"78752",78752,840,2,4,2,4,2,1,7,1,1,2,1,2,5,1,85,5,4,1400,62,1
"78753",78753,840,3,5,1,1,2,1,6,1,1,1,1,1,7,2,50,4,1,200,0,6
"78754",78754,840,1,4,4,2,2,10,7,1,1,1,1,1,10,2,41,5,1,200,0,1
"78755",78755,840,2,4,4,4,1,1,6,1,1,4,1,2,10,1,35,5,1,1250,64,1
"78756",78756,840,3,2,4,2,2,1,6,0,1,2,1,1,8,2,49,6,1,1400,53,1
"78757",78757,840,2,2,4,2,2,1,3,1,1,2,1,1,10,1,34,7,1,1400,52,1
"78758",78758,840,2,4,4,2,1,1,7,0,2,3,2,3,7,2,38,5,1,8000,62,1
"78759",78759,840,2,2,2,2,2,1,2,2,1,1,1,1,10,1,84,5,4,200,62,1
"78760",78760,840,2,4,4,4,2,1,4,2,1,2,1,2,7,2,44,5,1,1400,64,1
"78761",78761,840,2,-2,-2,-2,2,-2,6,0,1,2,1,2,8,2,22,4,8,1400,62,6
"78762",78762,840,3,4,4,4,2,5,6,1,2,3,3,4,6,1,25,6,8,8000,0,6
"78763",78763,840,1,4,1,4,2,1,2,2,1,1,1,1,8,1,81,5,4,1400,53,1
"78764",78764,840,4,4,1,4,2,1,1,2,1,1,1,1,10,2,62,7,5,1400,53,1
"78765",78765,840,2,2,2,2,2,5,5,0,2,2,1,3,5,1,28,7,1,1400,62,6
"78766",78766,840,2,4,4,2,2,1,6,1,1,3,1,2,7,1,71,6,3,1400,64,1
"78767",78767,840,1,1,2,1,2,1,4,2,1,2,1,1,10,1,21,4,1,200,53,6
"78768",78768,840,2,4,4,4,2,5,4,0,2,2,2,3,6,1,44,5,1,1400,0,4
"78769",78769,840,1,4,2,4,2,5,2,1,1,2,1,1,10,2,75,6,4,1400,64,5
"78770",78770,840,3,4,2,5,2,1,7,0,1,3,1,3,8,1,53,6,1,1400,64,6
"78771",78771,840,3,4,2,5,2,1,5,0,1,3,1,3,10,2,61,5,3,1400,0,1
"78772",78772,840,1,4,2,2,2,1,2,2,1,1,1,1,10,1,69,7,4,1400,64,1
"78773",78773,840,2,2,1,4,2,1,2,2,1,2,1,1,10,2,77,5,4,1400,64,5
"78774",78774,840,2,2,2,2,2,5,6,1,1,3,3,1,7,1,18,4,8,1400,12,6
"78775",78775,840,3,5,1,5,2,1,4,1,2,1,2,3,5,1,69,6,4,1400,42,1
"78776",78776,840,1,5,2,2,2,1,7,0,2,3,2,1,10,1,42,3,1,1250,64,1
"78777",78777,840,3,5,1,4,2,3,7,1,2,2,2,3,3,1,61,7,4,1400,64,1
"78778",78778,840,1,2,5,1,2,1,1,2,1,1,1,1,10,2,63,6,1,1400,62,3
"78779",78779,840,3,5,2,4,2,1,3,1,1,1,2,2,9,1,54,6,3,1400,53,1
"78780",78780,840,1,2,2,2,2,1,1,2,1,1,1,1,10,1,74,3,4,200,53,1
"78781",78781,840,1,1,4,1,2,1,1,2,1,1,1,1,10,1,83,6,4,1400,62,1
"78782",78782,840,1,4,5,1,2,1,2,2,1,2,1,1,10,2,69,5,4,1400,62,1
"78783",78783,840,2,2,2,2,2,2,7,0,1,3,2,2,8,1,50,5,1,1400,64,6
"78784",78784,840,2,5,1,5,2,1,6,1,1,3,1,3,6,1,73,5,4,1400,62,6
"78785",78785,840,2,4,4,5,2,1,4,0,2,3,2,2,8,1,76,5,4,1400,64,1
"78786",78786,840,3,4,2,4,2,2,3,1,2,2,2,2,8,1,38,7,1,1400,64,1
"78787",78787,840,2,4,4,4,2,2,7,0,1,1,1,2,10,2,44,4,5,1400,53,1
"78788",78788,840,1,1,4,2,2,1,1,2,1,1,1,1,10,1,49,5,1,200,62,1
"78789",78789,840,2,4,2,2,2,1,7,0,1,2,2,3,7,2,41,5,1,1400,62,3
"78790",78790,840,3,2,4,4,2,6,4,1,2,2,2,2,7,1,43,7,1,1400,62,6
"78791",78791,840,1,2,4,4,2,1,1,2,1,2,1,1,10,1,84,7,4,1400,62,5
"78792",78792,840,1,4,2,4,2,1,4,1,1,1,2,1,10,2,67,5,4,1400,62,1
"78793",78793,840,1,2,5,1,2,1,1,2,1,2,1,1,10,2,55,7,3,1400,62,1
"78794",78794,840,1,4,4,4,1,5,6,1,1,1,1,2,10,1,53,7,1,1250,64,3
"78795",78795,840,2,4,1,5,2,1,4,1,1,3,1,2,9,2,44,7,1,1400,62,6
"78796",78796,840,2,2,4,2,2,1,2,1,1,2,1,1,10,1,61,5,1,1400,62,1
"78797",78797,840,3,4,4,4,2,1,7,0,1,3,1,2,10,2,51,3,1,1400,53,1
"78798",78798,840,3,4,2,4,1,1,7,0,2,3,2,4,1,1,53,5,1,1250,0,6
"78799",78799,840,2,4,2,4,2,3,6,0,1,3,1,2,8,1,74,8,4,200,62,4
"78800",78800,840,1,-2,-2,-2,2,6,2,2,1,2,1,2,8,1,90,7,4,1400,62,1
"78801",78801,840,3,5,1,5,2,1,7,0,2,2,2,4,1,1,57,5,3,1250,0,1
"78802",78802,840,1,2,4,1,2,1,2,2,1,3,1,1,10,1,68,5,1,1400,62,1
"78803",78803,840,2,4,4,2,2,1,2,1,1,1,1,1,10,2,86,4,5,1400,64,1
"78804",78804,840,1,1,5,5,2,1,6,1,1,1,1,1,10,1,56,5,8,1400,0,5
"78805",78805,840,1,4,1,5,2,1,7,0,2,2,2,3,4,1,65,5,1,1400,0,3
"78806",78806,840,1,1,2,2,2,1,1,2,1,1,1,1,10,2,74,5,5,1400,62,1
"78807",78807,840,3,4,4,4,2,1,3,1,1,3,1,2,9,2,38,8,1,1400,64,1
"78808",78808,840,3,1,1,1,2,1,7,1,1,3,1,3,9,2,61,5,4,1400,62,1
"78809",78809,840,3,4,1,5,2,3,7,0,1,1,1,3,10,1,51,5,7,1400,0,3
"78810",78810,840,1,4,2,2,2,1,2,1,1,2,1,1,9,1,63,7,3,1400,64,1
"78811",78811,840,2,4,2,2,2,1,5,1,1,1,1,2,10,1,77,7,4,1400,62,1
"78812",78812,840,2,4,4,4,2,-2,3,1,1,1,2,2,10,1,34,5,1,200,53,6
"78813",78813,840,2,5,5,5,2,1,1,2,2,4,3,2,5,1,53,5,1,1250,64,1
"78814",78814,840,2,4,2,4,2,3,6,0,1,1,1,1,10,1,61,5,1,1400,62,1
"78815",78815,840,1,4,2,4,2,1,1,2,1,1,1,1,10,2,72,7,4,1400,64,4
"78816",78816,840,2,4,4,2,2,1,2,2,1,2,1,1,10,2,83,6,5,1400,62,1
"78817",78817,840,1,2,2,2,2,1,2,2,1,2,1,2,9,2,86,5,4,1400,62,5
"78818",78818,840,2,4,4,4,2,1,1,2,1,2,1,1,10,2,63,5,1,200,62,5
"78819",78819,840,1,-2,2,4,2,5,7,0,1,3,1,1,10,1,80,4,4,1250,0,5
"78820",78820,840,3,2,4,4,2,3,7,1,1,2,1,3,10,1,60,7,1,1400,0,1
"78821",78821,840,3,4,4,4,2,1,1,2,1,1,2,1,10,2,64,6,1,1400,62,3
"78822",78822,840,2,5,4,4,2,5,2,2,1,1,1,1,10,1,71,5,5,8000,62,1
"78823",78823,840,4,4,1,5,2,5,7,0,2,2,1,3,7,1,53,7,1,1400,0,1
"78824",78824,840,2,4,5,5,2,1,7,0,2,4,2,3,8,1,82,5,4,1400,62,5
"78825",78825,840,2,4,1,5,2,1,6,0,1,3,1,-2,10,1,72,6,4,1400,42,3
"78826",78826,840,2,2,5,1,1,3,4,1,1,2,1,2,10,1,57,7,1,1400,64,3
"78827",78827,840,3,5,4,5,2,1,4,1,2,2,2,2,6,1,77,5,4,1400,42,1
"78828",78828,840,4,5,1,5,2,1,7,0,1,3,2,3,8,1,69,5,1,8000,0,1
"78829",78829,840,1,1,1,1,2,1,6,1,1,1,1,3,10,1,56,6,3,1400,62,6
"78830",78830,840,2,5,5,4,2,1,2,2,1,1,1,1,10,1,48,8,1,200,62,1
"78831",78831,840,1,1,5,1,2,1,1,2,1,2,1,1,10,2,67,5,5,1400,53,1
"78832",78832,840,2,4,4,4,2,1,3,2,1,2,1,2,9,1,76,6,4,1400,62,1
"78833",78833,840,3,4,4,4,2,1,7,1,2,3,2,2,5,1,69,5,8,1400,62,5
"78834",78834,840,2,1,1,1,2,10,1,2,1,1,1,1,10,2,55,5,1,1400,52,3
"78835",78835,840,2,1,1,1,2,5,2,0,1,1,1,1,8,1,66,3,8,1400,0,1
"78836",78836,840,2,4,2,4,2,1,2,2,1,2,1,1,9,1,71,5,4,1400,62,1
"78837",78837,840,1,4,1,-2,2,1,2,2,1,1,2,1,8,1,73,7,4,1400,53,1
"78838",78838,840,3,4,1,5,1,1,7,0,2,1,2,4,5,1,55,6,1,1400,0,1
"78839",78839,840,1,4,2,4,1,5,6,0,1,1,2,1,10,1,56,5,4,1400,0,1
"78840",78840,840,1,4,4,4,2,8,2,2,2,2,1,1,9,1,91,6,4,1400,64,5
"78841",78841,840,2,5,4,4,2,3,2,0,1,3,1,1,10,1,87,8,4,1400,64,1
"78842",78842,840,1,4,5,2,2,1,2,2,1,2,1,1,10,2,69,5,4,1400,62,1
"78843",78843,840,1,2,2,2,2,6,3,1,1,2,1,2,10,2,51,5,1,1400,62,1
"78844",78844,840,1,2,4,2,2,3,2,2,1,2,1,1,10,1,78,5,4,1400,62,1
"78845",78845,840,2,2,2,2,2,1,2,1,1,2,1,1,9,2,87,4,5,1400,64,5
"78846",78846,840,1,2,2,2,2,1,3,1,1,1,1,2,10,1,74,8,4,1400,64,1
"78847",78847,840,1,4,2,2,2,1,6,1,1,2,1,1,10,2,61,6,1,1400,0,1
"78848",78848,840,1,1,4,2,2,5,2,2,1,1,1,1,10,1,28,8,1,1400,64,6
"78849",78849,840,1,1,4,1,2,1,1,2,1,1,1,1,10,1,62,5,8,1400,62,1
"78850",78850,840,3,4,1,4,2,1,6,1,1,1,1,1,10,2,52,4,8,1250,64,1
"78851",78851,840,2,1,1,1,2,1,6,1,1,1,1,1,10,2,73,4,4,1400,62,1
"78852",78852,840,2,4,2,2,2,2,2,2,1,2,1,1,10,1,44,7,1,1400,62,3
"78853",78853,840,2,4,5,4,2,1,7,0,1,4,1,3,7,1,61,6,4,1400,0,1
"78854",78854,840,2,4,2,4,1,1,6,0,1,2,1,1,10,1,45,4,1,1400,0,3
"78855",78855,840,1,5,2,1,2,1,2,2,1,3,1,1,10,1,81,3,4,1400,62,1
"78856",78856,840,3,4,5,2,2,1,7,0,1,2,2,1,10,1,68,7,4,1400,0,1
"78857",78857,840,1,4,4,4,2,6,6,1,1,1,2,1,10,2,42,4,8,1250,0,1
"78858",78858,840,4,5,1,5,2,1,7,0,1,2,2,4,1,2,34,5,3,1400,0,6
"78859",78859,840,4,5,1,5,1,3,7,0,2,2,2,3,2,1,47,6,1,1400,0,1
"78860",78860,840,3,4,1,5,1,3,7,0,1,3,2,4,9,2,50,6,1,1400,0,3
"78861",78861,840,2,5,4,2,2,1,1,2,1,2,1,1,10,2,49,7,5,1250,53,1
"78862",78862,840,4,5,1,5,1,1,7,0,2,1,3,4,1,1,75,7,4,8000,0,1
"78863",78863,840,2,4,4,4,2,1,5,1,1,1,1,2,10,1,71,6,4,1400,64,1
"78864",78864,840,2,4,1,4,2,1,7,0,1,2,1,1,10,2,64,6,4,1400,53,1
"78865",78865,840,2,4,4,2,2,1,3,2,1,3,1,1,10,1,76,5,4,1400,62,1
"78866",78866,840,2,5,1,4,2,1,4,0,2,2,1,2,8,2,52,7,1,8000,31,1
"78867",78867,840,1,4,2,4,2,4,2,2,1,3,1,2,10,1,60,6,4,1400,42,1
"78868",78868,840,1,2,2,2,2,1,1,2,2,1,1,1,6,2,21,4,1,200,53,6
"78869",78869,840,3,4,1,5,1,1,4,1,1,2,1,1,10,2,60,5,8,1400,64,1
"78870",78870,840,1,1,1,1,2,10,7,0,1,3,2,1,10,2,69,3,8,1400,0,3
"78871",78871,840,1,1,2,2,2,4,2,2,2,1,1,1,5,1,37,7,1,1400,64,1
"78872",78872,840,2,4,1,4,2,1,2,2,1,3,1,1,10,2,78,5,4,1400,62,5
"78873",78873,840,1,1,1,1,2,1,2,2,1,2,1,1,10,2,63,7,4,1400,62,1
"78874",78874,840,1,1,5,2,2,1,1,2,1,3,1,1,10,2,75,7,5,1400,62,5
"78875",78875,840,1,4,2,2,2,1,2,2,1,1,1,1,10,2,77,5,4,1400,64,1
"78876",78876,840,3,2,2,2,2,1,6,1,1,2,1,2,10,1,72,4,4,1400,64,1
"78877",78877,840,3,4,2,4,1,1,6,0,1,2,1,2,9,1,65,5,4,1400,64,3
"78878",78878,840,2,4,4,4,2,4,2,2,1,2,1,3,6,2,87,5,4,1400,62,5
"78879",78879,840,2,1,1,5,2,1,1,0,1,2,1,1,10,1,70,5,8,200,62,4
"78880",78880,840,4,4,4,5,2,1,7,0,2,3,2,4,1,2,65,5,1,1400,0,1
"78881",78881,840,3,-5,-5,-5,2,-5,7,0,1,2,1,2,8,2,64,5,4,1400,64,1
"78882",78882,840,3,4,4,4,2,5,6,0,1,2,2,2,10,2,85,3,4,1400,62,1
"78883",78883,840,2,4,5,4,2,1,7,0,1,4,2,4,4,2,56,5,8,1400,0,1
"78884",78884,840,4,1,1,5,2,1,7,0,1,1,1,2,10,2,51,7,1,1400,53,1
"78885",78885,840,2,5,1,1,2,1,7,0,2,1,2,4,2,1,67,5,4,1400,0,1
"78886",78886,840,2,4,5,2,2,1,2,1,2,3,1,2,10,2,77,4,4,1400,64,1
"78887",78887,840,2,2,4,2,2,1,6,0,1,1,1,1,10,1,54,4,1,1250,64,1
"78888",78888,840,2,1,2,1,2,1,6,1,1,1,1,2,9,2,84,5,4,1400,62,1
"78889",78889,840,4,5,1,5,1,1,7,0,2,2,3,4,1,1,63,5,4,1400,0,1
"78890",78890,840,1,4,4,4,2,1,2,2,1,2,1,2,10,1,77,5,4,1400,64,1
"78891",78891,840,3,5,2,4,2,1,7,0,2,3,2,2,5,1,55,4,3,1400,62,1
"78892",78892,840,3,4,2,2,2,1,7,0,1,3,1,2,10,1,65,5,4,1400,62,1
"78893",78893,840,2,1,5,1,2,1,6,1,1,1,1,1,10,1,36,5,1,8001,53,4
"78894",78894,840,4,1,4,1,2,1,1,2,1,1,1,1,10,1,47,4,8,1250,62,1
"78895",78895,840,2,5,2,4,2,4,7,0,1,2,1,2,10,2,43,5,1,1400,-2,1
"78896",78896,840,3,4,1,4,2,1,1,2,1,2,1,1,10,1,53,6,7,8001,53,6
"78897",78897,840,3,1,4,2,2,1,7,0,1,3,1,1,10,1,63,5,4,1400,62,1
"78898",78898,840,3,4,2,4,2,1,7,0,2,4,2,4,3,2,28,5,1,1400,0,6
"78899",78899,840,2,4,4,4,2,2,6,0,1,2,1,2,10,1,53,5,1,200,62,4
"78900",78900,840,2,4,2,4,2,3,6,0,1,1,1,2,10,1,36,6,1,200,0,4
"78901",78901,840,1,2,2,2,2,4,3,1,1,2,1,2,9,1,45,3,8,1250,-2,3
"78902",78902,840,3,5,2,5,2,4,7,0,1,2,2,3,5,2,55,6,4,1400,0,5
"78903",78903,840,1,4,2,2,2,1,7,0,2,2,1,2,8,1,79,4,4,1400,0,5
"78904",78904,840,1,4,5,2,2,1,1,2,1,1,1,1,10,2,82,6,5,1250,64,5
"78905",78905,840,2,2,2,2,2,1,2,2,1,3,2,2,7,2,41,5,1,1400,62,1
"78906",78906,840,1,1,2,1,2,1,1,2,1,3,1,1,10,2,69,5,1,1400,62,5
"78907",78907,840,1,4,4,5,2,1,3,2,1,1,1,1,10,1,60,5,4,200,62,1
"78908",78908,840,2,5,1,4,2,1,7,1,2,3,1,2,8,1,58,5,3,1400,62,1
"78909",78909,840,2,2,4,2,2,2,7,0,-2,1,1,2,10,2,71,4,4,1400,0,1
"78910",78910,840,3,4,1,5,2,1,7,0,1,2,1,1,10,2,57,6,4,1400,-2,1
"78911",78911,840,2,5,4,4,2,1,6,1,1,2,1,3,8,1,45,7,1,1400,64,1
"78912",78912,840,1,2,5,1,2,1,2,2,1,2,1,1,10,1,72,6,4,1400,62,1
"78913",78913,840,3,5,2,5,2,1,7,1,1,2,1,2,10,1,71,4,4,1400,64,1
"78914",78914,840,4,5,1,5,2,2,7,1,2,2,2,4,1,1,45,5,1,1400,0,1
"78915",78915,840,1,4,4,4,2,2,2,2,1,2,1,1,10,1,51,6,1,200,53,1
"78916",78916,840,2,2,4,1,2,1,1,2,1,3,1,1,10,2,42,4,5,1400,62,1
"78917",78917,840,3,5,1,5,1,1,7,0,2,3,1,3,4,1,54,7,1,1400,0,1
"78918",78918,840,3,4,4,4,2,1,6,1,1,2,1,1,10,1,65,8,8,1400,62,6
"78919",78919,840,3,4,4,2,2,1,7,0,1,3,1,3,7,2,54,7,1,1400,53,1
"78920",78920,840,3,5,1,5,2,3,7,1,2,4,2,4,2,1,64,5,4,1400,62,1
"78921",78921,840,2,4,2,4,2,1,7,0,1,3,1,2,9,2,64,5,4,1400,64,5
"78922",78922,840,1,4,4,5,2,1,3,1,1,1,1,1,10,1,79,3,8,1400,62,1
"78923",78923,840,1,2,4,4,2,3,2,2,1,1,1,1,10,1,75,7,4,8001,62,1
"78924",78924,840,3,4,1,4,2,1,7,0,1,2,1,2,9,1,64,7,4,1400,64,3
"78925",78925,840,2,2,4,2,1,5,2,1,1,2,1,1,9,1,69,7,4,1400,62,1
"78926",78926,840,1,1,2,1,2,5,6,2,1,1,1,1,5,1,40,4,1,1400,0,1
"78927",78927,840,3,4,1,4,2,1,6,0,2,3,2,3,7,1,25,5,1,1400,64,1
"78928",78928,840,1,4,2,4,2,1,3,1,1,2,1,2,9,1,87,5,4,1400,62,1
"78929",78929,840,1,1,5,1,2,1,2,2,1,1,1,1,10,1,54,7,8,1400,53,5
"78930",78930,840,3,5,2,4,2,3,7,0,2,3,1,2,8,1,50,9,1,1400,42,6
"78931",78931,840,1,4,5,1,1,1,-2,0,1,-2,1,1,10,2,41,3,3,1400,-2,1
"78932",78932,840,3,4,4,4,2,2,7,0,1,1,1,1,10,2,53,5,7,200,0,1
"78933",78933,840,4,4,4,2,2,1,7,0,2,2,1,2,9,1,63,5,3,1400,0,3
"78934",78934,840,3,2,4,4,2,1,4,1,1,1,1,2,10,2,63,3,4,1250,64,1
"78935",78935,840,3,4,4,4,2,1,7,0,1,1,1,2,10,1,72,6,4,1400,0,3
"78936",78936,840,2,2,2,2,2,1,2,2,1,2,1,1,10,1,71,8,4,1400,62,1
"78937",78937,840,1,1,4,2,2,1,4,2,1,1,1,1,10,1,84,5,4,1400,64,5
"78938",78938,840,2,4,4,4,2,1,4,2,1,3,1,1,8,1,83,6,4,8001,42,3
"78939",78939,840,1,2,2,2,2,1,2,2,1,3,1,1,10,2,72,5,1,1400,64,1
"78940",78940,840,2,2,4,2,2,1,2,2,1,2,1,1,9,1,42,6,3,8000,62,1
"78941",78941,840,4,5,1,5,2,1,4,1,1,2,2,3,5,1,53,6,1,1400,62,1
"78942",78942,840,2,4,4,5,2,1,3,2,1,2,1,2,10,1,79,7,4,1400,64,1
"78943",78943,840,2,4,4,4,2,2,6,0,1,3,1,2,10,2,66,5,4,1400,62,5
"78944",78944,840,3,4,4,4,2,2,7,0,1,2,2,3,5,1,57,5,1,1400,62,1
"78945",78945,840,3,4,2,5,2,1,7,0,1,2,1,1,10,1,53,5,7,1400,0,1
"78946",78946,840,4,1,1,1,2,1,6,0,2,3,2,4,1,1,76,6,4,1400,62,1
"78947",78947,840,1,2,4,2,2,1,2,2,1,2,1,1,9,2,72,5,5,1400,64,1
"78948",78948,840,1,2,4,1,2,2,1,2,1,1,1,1,10,2,85,6,4,1400,64,5
"78949",78949,840,2,4,4,5,2,1,7,0,1,2,1,3,8,1,50,5,8,1400,0,1
"78950",78950,840,2,4,4,5,2,2,1,2,1,1,1,1,10,1,43,8,1,1250,64,6
"78951",78951,840,2,-5,-5,-5,1,-5,-5,0,-5,-5,-5,3,-5,2,33,4,5,1400,-5,6
"78952",78952,840,2,4,5,1,1,1,2,0,2,2,1,2,7,2,57,4,4,1400,0,1
"78953",78953,840,2,2,2,2,2,5,6,0,1,3,1,1,10,1,65,5,4,1400,0,1
"78954",78954,840,3,4,4,4,2,1,7,0,1,3,1,3,7,2,29,7,1,1400,0,1
"78955",78955,840,2,4,4,2,2,2,3,2,1,2,1,2,10,1,49,4,1,1250,62,1
"78956",78956,840,1,4,4,4,2,1,2,1,1,1,1,1,10,2,53,7,8,1400,62,3
"78957",78957,840,2,2,4,2,2,2,2,0,1,2,1,2,10,2,63,6,1,1400,64,1
"78958",78958,840,2,4,2,4,2,3,5,1,1,3,2,3,5,2,35,5,3,1400,62,1
"78959",78959,840,1,1,5,1,2,1,6,1,1,2,1,1,10,1,48,5,8,1400,62,6
"78960",78960,840,2,4,1,2,2,1,2,2,1,3,1,1,10,2,73,8,4,1250,64,6
"78961",78961,840,1,1,1,1,2,1,1,2,1,1,1,1,10,1,70,5,4,1400,62,1
"78962",78962,840,1,2,5,1,1,1,1,1,1,1,1,1,10,1,50,5,1,1400,53,1
"78963",78963,840,1,4,2,4,1,1,5,0,1,2,1,2,8,1,75,5,1,1400,62,1
"78964",78964,840,1,5,-2,2,2,1,2,2,1,2,1,1,10,2,86,5,4,1400,64,1
"78965",78965,840,1,4,4,1,2,1,1,2,1,1,1,1,10,2,69,5,5,1400,62,1
"78966",78966,840,2,2,4,1,2,1,1,2,1,2,1,1,10,2,61,5,4,1400,53,1
"78967",78967,840,2,5,5,1,2,1,2,2,1,1,1,1,10,1,57,7,1,1400,64,1
"78968",78968,840,2,4,4,4,2,4,2,0,1,2,1,2,5,1,78,3,4,1400,64,1
"78969",78969,840,3,4,4,4,1,3,6,1,1,2,2,3,3,1,39,8,1,8000,0,6
"78970",78970,840,2,4,2,5,2,1,4,1,2,3,1,3,5,1,73,7,4,1400,64,1
"78971",78971,840,3,2,2,2,2,2,6,0,1,2,2,3,10,1,78,3,4,8000,0,4
"78972",78972,840,2,2,1,4,2,1,6,1,1,1,1,2,10,2,73,4,4,1400,53,5
"78973",78973,840,2,1,5,1,2,2,6,1,1,1,1,2,10,1,32,5,8,1400,62,6
"78974",78974,840,2,4,4,4,2,1,4,1,2,3,2,3,4,1,52,6,8,1400,62,3
"78975",78975,840,2,4,4,4,2,3,2,2,1,1,1,2,10,2,61,8,1,1400,64,1
"78976",78976,840,1,1,5,4,2,3,6,0,2,3,3,1,4,1,33,6,1,1250,53,6
"78977",78977,840,1,1,1,1,2,1,1,2,1,2,1,1,10,1,84,5,4,1400,62,1
"78978",78978,840,2,4,4,2,2,1,2,2,1,2,1,1,10,2,60,6,3,1400,62,1
"78979",78979,840,1,5,2,4,1,4,6,2,1,1,1,1,6,2,35,7,1,200,0,6
